LJGauss
N     1001 R        0.1600000E-01      16.0000000
 
    1       0.0160000        0.1421085E+23       0.1065814E+26
    2       0.0320000        0.3469447E+19       0.1301043E+22
    3       0.0480000        0.2674023E+17       0.6685058E+19
    4       0.0640000        0.8470329E+15       0.1588187E+18
    5       0.0800000        0.5820765E+14       0.8731148E+16
    6       0.0960000        0.6528371E+13       0.8160467E+15
    7       0.1120000        0.1026698E+13       0.1100035E+15
    8       0.1280000        0.2067942E+12       0.1938700E+14
    9       0.1440000        0.5031601E+11       0.4193020E+13
   10       0.1600000        0.1421062E+11       0.1065805E+13
   11       0.1760000        0.4527882E+10       0.3087238E+12
   12       0.1920000        0.1593762E+10       0.9961263E+11
   13       0.2080000        0.6099087E+09       0.3518846E+11
   14       0.2240000        0.2506276E+09       0.1342733E+11
   15       0.2400000        0.1095071E+09       0.5475876E+10
   16       0.2560000        0.5047289E+08       0.2366250E+10
   17       0.2720000        0.2438133E+08       0.1075864E+10
   18       0.2880000        0.1227729E+08       0.5116995E+09
   19       0.3040000         6415559.           0.2533455E+09
   20       0.3200000         3465728.           0.1300344E+09
   21       0.3360000         1929145.           0.6894742E+08
   22       0.3520000         1103377.           0.3765072E+08
   23       0.3680000         646860.7           0.2111931E+08
   24       0.3840000         387880.9           0.1214054E+08
   25       0.4000000         237449.2            7137890.    
   26       0.4160000         148151.3            4284484.    
   27       0.4320000         94071.92            2621400.    
   28       0.4480000         60709.98            1632513.    
   29       0.4640000         39773.24            1033505.    
   30       0.4800000         26423.54            664350.7    
   31       0.4960000         17784.71            433163.9    
   32       0.5120000         12116.88            286189.7    
   33       0.5280000         8350.326            191429.7    
   34       0.5440000         5817.198            129523.2    
   35       0.5600000         4094.573            88575.87    
   36       0.5760000         2910.995            61174.63    
   37       0.5920000         2090.005            42636.72    
   38       0.6080000         1515.510            29966.18    
   39       0.6240000         1110.257            21223.09    
   40       0.6400000         822.2751            15136.99    
   41       0.6560000         616.2368            10866.79    
   42       0.6720000         467.8856            7849.839    
   43       0.6880000         360.4067            5705.940    
   44       0.7040000         282.0373            4175.599    
   45       0.7200000         224.4788            3079.930    
   46       0.7360000         181.8322            2294.346    
   47       0.7520000         149.8780            1731.162    
   48       0.7680000         125.5846            1328.007    
   49       0.7840000         106.7696            1040.049    
   50       0.8000000         91.86371            834.7514    
   51       0.8160000         79.74468            688.3167    
   52       0.8320000         69.61771            583.2582    
   53       0.8480000         60.92889            506.7255    
   54       0.8640000         53.30088            449.3335    
   55       0.8800000         46.48453            404.3250    
   56       0.8960000         40.32201            366.9560    
   57       0.9120000         34.71847            334.0267    
   58       0.9280000         29.62042            303.5131    
   59       0.9440000         24.99939            274.2678    
   60       0.9600000         20.83992            245.7742    
   61       0.9760000         17.13113            217.9435    
   62       0.9920000         13.86128            190.9504    
   63       1.0080000         11.01461            165.1033    
   64       1.0240000         8.570019            140.7473    
   65       1.0400000         6.501059            118.1961    
   66       1.0560000         4.776817            97.69031    
   67       1.0720000         3.363258            79.37708    
   68       1.0880000         2.224774            63.30647    
   69       1.1040000         1.325684            49.43980    
   70       1.1200000        0.6315316            37.66550    
   71       1.1360000        0.1101027            27.81852    
   72       1.1520000       -0.2678832            19.70021    
   73       1.1680000       -0.5283819            13.09649    
   74       1.1840000       -0.6939025            7.792821    
   75       1.2000000       -0.7835965            3.585592    
   76       1.2160000       -0.8134974           0.2896192    
   77       1.2320000       -0.7968530           -2.257670    
   78       1.2480000       -0.7445017           -4.194850    
   79       1.2640000       -0.6652532           -5.637181    
   80       1.2800000       -0.5662465           -6.678662    
   81       1.2960000       -0.4532681           -7.394866    
   82       1.3120000       -0.3310220           -7.846045    
   83       1.3280000       -0.2033505           -8.080175    
   84       1.3440000       -0.7340769E-01       -8.135709    
   85       1.3600000        0.5620724E-01       -8.043900    
   86       1.3760000        0.1833503           -7.830681    
   87       1.3920000        0.3062595           -7.518087    
   88       1.4080000        0.4235017           -7.125291    
   89       1.4240000        0.5339322           -6.669308    
   90       1.4400000        0.6366645           -6.165449    
   91       1.4560000        0.7310454           -5.627579    
   92       1.4720000        0.8166328           -5.068247    
   93       1.4880000        0.8931752           -4.498742    
   94       1.5040000        0.9605920           -3.929099    
   95       1.5200000         1.018953           -3.368087    
   96       1.5360000         1.068457           -2.823211    
   97       1.5520000         1.109415           -2.300714    
   98       1.5680000         1.142226           -1.805614    
   99       1.5840000         1.167361           -1.341747    
  100       1.6000000         1.185344          -0.9118489    
  101       1.6160000         1.196731          -0.5176402    
  102       1.6320000         1.202103          -0.1599339    
  103       1.6480000         1.202044           0.1612511    
  104       1.6640000         1.197134           0.4465706    
  105       1.6800000         1.187939           0.6972360    
  106       1.6960000         1.174999           0.9148978    
  107       1.7120000         1.158827            1.101537    
  108       1.7280000         1.139903            1.259363    
  109       1.7440000         1.118669            1.390726    
  110       1.7600000         1.095528            1.498040    
  111       1.7760000         1.070847            1.583712    
  112       1.7920000         1.044952            1.650096    
  113       1.8080000         1.018135            1.699444    
  114       1.8240000        0.9906496            1.733882    
  115       1.8400000        0.9627195            1.755381    
  116       1.8560000        0.9345367            1.765750    
  117       1.8720000        0.9062661            1.766627    
  118       1.8880000        0.8780474            1.759481    
  119       1.9040000        0.8499985            1.745614    
  120       1.9200000        0.8222175            1.726169    
  121       1.9360000        0.7947855            1.702145    
  122       1.9520000        0.7677687            1.674402    
  123       1.9680000        0.7412205            1.643679    
  124       1.9840000        0.7151835            1.610606    
  125       2.0000000        0.6896908            1.575715    
  126       2.0160000        0.6647679            1.539454    
  127       2.0320000        0.6404336            1.502197    
  128       2.0480000        0.6167012            1.464257    
  129       2.0640000        0.5935796            1.425893    
  130       2.0800000        0.5710738            1.387318    
  131       2.0960000        0.5491856            1.348709    
  132       2.1120000        0.5279145            1.310211    
  133       2.1280000        0.5072576            1.271943    
  134       2.1440000        0.4872106            1.234002    
  135       2.1600000        0.4677674            1.196470    
  136       2.1760000        0.4489210            1.159411    
  137       2.1920000        0.4306634            1.122879    
  138       2.2080000        0.4129858            1.086919    
  139       2.2240000        0.3958788            1.051567    
  140       2.2400000        0.3793323            1.016852    
  141       2.2560000        0.3633360           0.9827985    
  142       2.2720000        0.3478791           0.9494261    
  143       2.2880000        0.3329506           0.9167504    
  144       2.3040000        0.3185393           0.8847837    
  145       2.3200000        0.3046337           0.8535355    
  146       2.3360000        0.2912223           0.8230130    
  147       2.3520000        0.2782934           0.7932211    
  148       2.3680000        0.2658353           0.7641627    
  149       2.3840000        0.2538363           0.7358392    
  150       2.4000000        0.2422845           0.7082504    
  151       2.4160000        0.2311684           0.6813944    
  152       2.4320000        0.2204760           0.6552686    
  153       2.4480000        0.2101959           0.6298687    
  154       2.4640000        0.2003164           0.6051897    
  155       2.4800000        0.1908260           0.5812254    
  156       2.4960000        0.1817134           0.5579689    
  157       2.5120000        0.1729673           0.5354123    
  158       2.5280000        0.1645765           0.5135471    
  159       2.5440000        0.1565301           0.4923641    
  160       2.5600000        0.1488173           0.4718533    
  161       2.5760000        0.1414273           0.4520045    
  162       2.5920000        0.1343497           0.4328067    
  163       2.6080000        0.1275741           0.4142485    
  164       2.6240000        0.1210904           0.3963182    
  165       2.6400000        0.1148886           0.3790037    
  166       2.6560000        0.1089590           0.3622926    
  167       2.6720000        0.1032921           0.3461722    
  168       2.6880000        0.9787843E-01       0.3306297    
  169       2.7040000        0.9270892E-01       0.3156519    
  170       2.7200000        0.8777463E-01       0.3012256    
  171       2.7360000        0.8306683E-01       0.2873375    
  172       2.7520000        0.7857703E-01       0.2739742    
